species,nobs,taxonKeys,Kingdom,Phylum,Class,Order,Family,Genus,analyzed,NativeStatus
Lepus americanus,3242,2436794,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,yes,
Lepus californicus,8058,2436801,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,yes,
Lepus townsendii,1128,2436705,Animalia,Chordata,Mammalia,Lagomorpha,Leporidae,Lepus,yes,
Lerema accius,7813,1950133,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Lerema,yes,
Lerodea eufala,2511,1949451,Animalia,Arthropoda,Insecta,Lepidoptera,Hesperiidae,Lerodea,yes,
Lestes alacer,958,5051641,Animalia,Arthropoda,Insecta,Odonata,Lestidae,Lestes,yes,
Lestes australis,1509,5715372,Animalia,Arthropoda,Insecta,Odonata,Lestidae,Lestes,yes,
Lestes congener,2954,5051576,Animalia,Arthropoda,Insecta,Odonata,Lestidae,Lestes,yes,
Lestes forficula,571,5051634,Animalia,Arthropoda,Insecta,Odonata,Lestidae,Lestes,yes,
Lestes rectangularis,4327,5051661,Animalia,Arthropoda,Insecta,Odonata,Lestidae,Lestes,yes,
Lethe anthedon,5785,4299804,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Lethe,yes,
Leucauge argyra,797,2151507,Animalia,Arthropoda,NA,Araneae,Tetragnathidae,Leucauge,yes,
Leucauge argyrobapta,2337,2151576,Animalia,Arthropoda,NA,Araneae,Tetragnathidae,Leucauge,yes,
Leucauge venusta,5013,2151568,Animalia,Arthropoda,NA,Araneae,Tetragnathidae,Leucauge,yes,
Leucoma salicis,632,1820039,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Leucoma,yes,
Leucophaeus atricilla,1387524,6065844,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,yes,
Leucophaeus pipixcan,252611,5846430,Animalia,Chordata,Aves,Charadriiformes,Laridae,Leucophaeus,yes,
Leucorrhinia intacta,5132,1429172,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Leucorrhinia,yes,
Leucosticte australis,10688,2494359,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,yes,
Leucosticte tephrocotis,26617,2494360,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Leucosticte,yes,
Libellula comanche,1406,1427887,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,yes,
Libellula croceipennis,2730,1427904,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,yes,
Libellula deplanata,3393,1427911,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,yes,
Libellula forensis,2460,1427927,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,yes,
Libellula incesta,10980,1427899,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,yes,
Libellula julia,4953,1427893,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,yes,
Libellula luctuosa,22051,1427951,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,yes,
Libellula needhami,3551,1427959,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,yes,
Libellula pulchella,10754,1427889,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,yes,
Libellula quadrimaculata,4608,1427915,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,yes,
Libellula saturata,8816,1427950,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,yes,
Libellula vibrans,6971,1427933,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Libellula,yes,
Libinia emarginata,686,2226736,Animalia,Arthropoda,Malacostraca,Decapoda,Epialtidae,Libinia,no,
Liburniella ornata,438,2056850,Animalia,Arthropoda,Insecta,Hemiptera,Delphacidae,Liburniella,yes,
Libytheana carinenta,14031,1898402,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Libytheana,yes,
Ligia occidentalis,616,5175619,Animalia,Arthropoda,Malacostraca,Isopoda,Ligiidae,Ligia,no,
Lilioceris lilii,495,1048809,Animalia,Arthropoda,Insecta,Coleoptera,Chrysomelidae,Lilioceris,yes,Exotic
Limacia mcdonaldi,286,9360337,Animalia,Mollusca,Gastropoda,Nudibranchia,Polyceridae,Limacia,no,
Limacus flavus,1128,2295442,Animalia,Mollusca,Gastropoda,Stylommatophora,Limacidae,Limacus,yes,
Limax maximus,4138,2295438,Animalia,Mollusca,Gastropoda,Stylommatophora,Limacidae,Limax,yes,Exotic
Limenitis archippus,11188,5132398,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,yes,
Limenitis arthemis,11017,5132084,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,yes,
Limenitis astyanax,14360,5132505,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,yes,
Limenitis bredowii,3813,5132079,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,yes,
Limenitis lorquini,3458,5132246,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,yes,
Limenitis weidemeyerii,916,5714333,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Limenitis,yes,
Limnodromus griseus,376282,2481672,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus,yes,
Limnodromus scolopaceus,371491,2481670,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limnodromus,yes,
Limosa fedoa,346198,2481684,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,yes,
Limosa haemastica,50508,2481680,Animalia,Chordata,Aves,Charadriiformes,Scolopacidae,Limosa,yes,
Limulus polyphemus,5083,1010610,Animalia,Arthropoda,Merostomata,Xiphosurida,Limulidae,Limulus,no,
Lineodes integra,756,1892427,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Lineodes,yes,
Linepithema humile,5763,1316908,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Linepithema,yes,Exotic
Liometopum occidentale,723,1319372,Animalia,Arthropoda,Insecta,Hymenoptera,Formicidae,Liometopum,yes,
Liriomyza arctii,163,1553623,Animalia,Arthropoda,Insecta,Diptera,Agromyzidae,Liriomyza,yes,
Liriomyza fricki,524,1553687,Animalia,Arthropoda,Insecta,Diptera,Agromyzidae,Liriomyza,yes,
Lithobates berlandieri,3679,2427110,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,yes,
Lithobates catesbeianus,36667,2427091,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,yes,
Lithobates clamitans,40676,2427172,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,yes,
Lithobates palustris,5322,2427056,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,yes,
Lithobates pipiens,11921,2427185,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,yes,
Lithobates sphenocephalus,7949,2427093,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,yes,
Lithobates sylvaticus,20959,2427072,Animalia,Chordata,Amphibia,Anura,Ranidae,Lithobates,yes,
Littoraria irrorata,528,5192673,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littoraria,no,
Littorina littorea,2122,2301117,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,no,
Littorina obtusata,556,2301066,Animalia,Mollusca,Gastropoda,Littorinimorpha,Littorinidae,Littorina,no,
Lobatus gigas,4374,4963453,Animalia,Mollusca,Gastropoda,Littorinimorpha,Strombidae,Lobatus,no,
Lobocleta ossularia,1084,1990335,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lobocleta,yes,
Lobophora nivigerata,1065,5144424,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lobophora,yes,
Lonchura punctulata,86643,2493598,Animalia,Chordata,Aves,Passeriformes,Estrildidae,Lonchura,yes,Exotic
Lontra canadensis,5331,2433727,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Lontra,yes,
Lophocampa argentata,1079,1817727,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Lophocampa,yes,
Lophocampa caryae,7254,1817732,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Lophocampa,yes,
Lophocampa maculata,4730,1817729,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Lophocampa,yes,
Lophodytes cucullatus,1548855,2498408,Animalia,Chordata,Aves,Anseriformes,Anatidae,Lophodytes,yes,
Lottia gigantea,1315,2297856,Animalia,Mollusca,Gastropoda,NA,Lottiidae,Lottia,no,
Lottia scabra,663,2297849,Animalia,Mollusca,Gastropoda,NA,Lottiidae,Lottia,no,
Loxia curvirostra,241743,9629160,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,yes,
Loxia leucoptera,104534,8144830,Animalia,Chordata,Aves,Passeriformes,Fringillidae,Loxia,yes,
Loxosceles reclusa,799,5170704,Animalia,Arthropoda,NA,Araneae,Sicariidae,Loxosceles,yes,
Loxostege cereralis,461,1882195,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Loxostege,yes,
Lucanus capreolus,1997,7711888,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Lucanus,yes,
Lucanus elaphus,418,7831408,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Lucanus,yes,
Lucanus mazama,125,8303736,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Lucanus,yes,
Lucanus placidus,251,7886486,Animalia,Arthropoda,Insecta,Coleoptera,Lucanidae,Lucanus,yes,
Lucidota atra,2065,1162734,Animalia,Arthropoda,Insecta,Coleoptera,Lampyridae,Lucidota,yes,
Lucilia sericata,1609,5063973,Animalia,Arthropoda,Insecta,Diptera,Calliphoridae,Lucilia,yes,
Lumbricus terrestris,2663,4410657,Animalia,Annelida,Clitellata,Crassiclitellata,Lumbricidae,Lumbricus,yes,
Luridiblatta trivittata,145,4514014,Animalia,Arthropoda,Insecta,Blattodea,Ectobiidae,Luridiblatta,yes,
Lutjanus griseus,37522,2384986,Animalia,Chordata,Actinopterygii,Perciformes,Lutjanidae,Lutjanus,no,
Luxilus cornutus,3647,2366967,Animalia,Chordata,Actinopterygii,Cypriniformes,Cyprinidae,Luxilus,no,
Lycaeides melissa,1124,1926834,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaeides,yes,
Lycaena gorgon,394,5139432,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,yes,
Lycaena helloides,980,5714572,Animalia,Arthropoda,Insecta,Lepidoptera,Riodinidae,Fabricius,yes,
Lycaena mariposa,591,5139700,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,yes,
Lycaena phlaeas,2294,1929697,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Lycaena,yes,
Lycia ypsilon,348,5147703,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Lycia,yes,
Lycomorpha pholus,746,1804512,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Lycomorpha,yes,
Lycorma delicatula,3345,5157899,Animalia,Arthropoda,Insecta,Hemiptera,Fulgoridae,Lycorma,yes,
Lygaeus kalmii,5364,2007859,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Lygaeus,yes,
Lygaeus turcicus,1596,2007853,Animalia,Arthropoda,Insecta,Hemiptera,Lygaeidae,Lygaeus,yes,
Lygus lineolaris,3109,5152838,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Lygus,yes,
Lymantria dispar,8143,1820406,Animalia,Arthropoda,Insecta,Lepidoptera,Erebidae,Lymantria,yes,Exotic
Lymire edwardsi,202,1804331,Animalia,Arthropoda,Insecta,Lepidoptera,Arctiidae,Lymire,yes,
Lynx rufus,9709,2435246,Animalia,Chordata,Mammalia,Carnivora,Felidae,Lynx,yes,
Lyssomanes viridis,2336,2168060,Animalia,Arthropoda,NA,Araneae,Salticidae,Lyssomanes,yes,
Lytta magister,623,1046562,Animalia,Arthropoda,Insecta,Coleoptera,Meloidae,Lytta,yes,
Macoma nasuta,385,2286989,Animalia,Mollusca,Bivalvia,Cardiida,Tellinidae,Macoma,no,
Macromia illinoiensis,1489,1429930,Animalia,Arthropoda,Insecta,Odonata,Corduliidae,Macromia,yes,
Macrostemum zebratum,363,1439372,Animalia,Arthropoda,Insecta,Trichoptera,Hydropsychidae,Macrostemum,yes,
Maevia inclemens,1348,2170439,Animalia,Arthropoda,NA,Araneae,Salticidae,Maevia,yes,
Magallana gigas,1649,7820753,Animalia,Mollusca,Bivalvia,Ostreida,Ostreidae,Magallana,no,
Malachius aeneus,302,4449367,Animalia,Arthropoda,Insecta,Coleoptera,Melyridae,Malachius,yes,
Malaclemys terrapin,1818,2443212,Animalia,Chordata,Reptilia,Testudines,Emydidae,Malaclemys,yes,
Malacosoma americana,5737,5101728,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Malacosoma,yes,
Malacosoma californica,1578,5101788,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Malacosoma,yes,
Malacosoma disstria,5252,5101763,Animalia,Arthropoda,Insecta,Lepidoptera,Lasiocampidae,Malacosoma,yes,
Mallophora fautrix,1309,5092838,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Mallophora,yes,
Mallophora leschenaultii,432,5092806,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Mallophora,yes,
Mallota florea,260,1541441,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Mallota,yes,
Manduca rustica,2312,1864021,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca,yes,
Manduca sexta,6695,1863978,Animalia,Arthropoda,Insecta,Lepidoptera,Sphingidae,Manduca,yes,
Mantis religiosa,4108,6258028,Animalia,Arthropoda,Insecta,Mantodea,Mantidae,Mantis,yes,
Marmara arbutiella,223,1751163,Animalia,Arthropoda,Insecta,Lepidoptera,Gracillariidae,Marmara,yes,
Marmara fasciella,78,1751157,Animalia,Arthropoda,Insecta,Lepidoptera,Gracillariidae,Marmara,yes,
Marmota monax,7270,2437368,Animalia,Chordata,Mammalia,Rodentia,Sciuridae,Marmota,yes,
Mayaheros urophthalmus,1482,9539561,Animalia,Chordata,Actinopterygii,Perciformes,Cichlidae,Mayaheros,no,
Meconema meridionale,82,1690429,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Meconema,yes,
Meconema thalassinum,983,1690432,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Meconema,yes,
Mecynogea lemniscata,645,2158784,Animalia,Arthropoda,NA,Araneae,Araneidae,Mecynogea,yes,
Megaceryle torquata,115148,2475466,Animalia,Chordata,Aves,Coraciiformes,Alcedinidae,Megaceryle,yes,
Megachile latimanus,563,1336315,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,yes,
Megachile parallela,268,1336077,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,yes,
Megachile perihirta,770,1335630,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,yes,
Megachile rotundata,1140,1335648,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,yes,
Megachile sculpturalis,1031,1335213,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,yes,
Megachile texana,293,1335888,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,yes,
Megachile xylocopoides,1139,1335381,Animalia,Arthropoda,Insecta,Hymenoptera,Megachilidae,Megachile,yes,
Megacopta cribraria,1034,5866311,Animalia,Arthropoda,Insecta,Hemiptera,Plataspidae,Megacopta,yes,
Megacyllene robiniae,2634,1150515,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Megacyllene,yes,
Megalographa biloba,969,8729319,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Megalographa,yes,
Megalopyge opercularis,2232,1751572,Animalia,Arthropoda,Insecta,Lepidoptera,Megalopygidae,Megalopyge,yes,
Megaphasma denticrus,645,1411531,Animalia,Arthropoda,Insecta,Phasmida,Diapheromeridae,Megaphasma,yes,
Megaptera novaeangliae,138865,5220086,Animalia,Chordata,Mammalia,Cetacea,Balaenopteridae,Megaptera,no,
Megascops asio,210045,2497415,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,yes,
Megascops kennicottii,59111,2497341,Animalia,Chordata,Aves,Strigiformes,Strigidae,Megascops,yes,
Megastraea undosa,837,2293185,Animalia,Mollusca,Gastropoda,Trochida,Turbinidae,Megastraea,no,
Megathura crenulata,6932,2293441,Animalia,Mollusca,Gastropoda,Lepetellida,Fissurellidae,Megathura,no,
Megatibicen auletes,599,9592223,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Megatibicen,yes,
Megatibicen dealbatus,386,9425968,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Megatibicen,yes,
Megatibicen resh,1202,9402991,Animalia,Arthropoda,Insecta,Hemiptera,Cicadidae,Megatibicen,yes,
Melanchroia chephise,1215,1963433,Animalia,Arthropoda,Insecta,Lepidoptera,Geometridae,Melanchroia,yes,
Melanerpes aurifrons,447613,2478081,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,yes,
Melanerpes erythrocephalus,728495,2478130,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,yes,
Melanerpes formicivorus,716522,2478133,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,yes,
Melanerpes lewis,69785,2478142,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,yes,
Melanerpes uropygialis,332219,2478112,Animalia,Chordata,Aves,Piciformes,Picidae,Melanerpes,yes,
Melanitta fusca,359969,2498238,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,yes,
Melanitta nigra,271749,2498247,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,yes,
Melanitta perspicillata,604855,2498246,Animalia,Chordata,Aves,Anseriformes,Anatidae,Melanitta,yes,
Melanoplus bivittatus,5832,1699027,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,yes,
Melanoplus cinereus,147,1699339,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,yes,
Melanoplus differentialis,12209,1699044,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,yes,
Melanoplus femurrubrum,2310,1699053,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,yes,
Melanoplus punctulatus,2325,1699015,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Melanoplus,yes,
Melaphis rhois,710,2069754,Animalia,Arthropoda,Insecta,Hemiptera,Aphididae,Melaphis,yes,
Meleagris gallopavo,1363593,9606290,Animalia,Chordata,Aves,Galliformes,Phasianidae,Meleagris,yes,
Melipotis acontioides,690,1790240,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Melipotis,yes,
Melipotis cellaris,1167,1790230,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Melipotis,yes,
Melipotis indomita,2374,1790257,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Melipotis,yes,
Melipotis jucunda,1244,1790258,Animalia,Arthropoda,Insecta,Lepidoptera,Noctuidae,Melipotis,yes,
Meliscaeva cinctella,649,1535521,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Meliscaeva,yes,
Melissodes bimaculatus,5351,5040660,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Melissodes,yes,
Melissodes trinodis,1502,5040637,Animalia,Arthropoda,Insecta,Hymenoptera,Apidae,Melissodes,yes,
Melittia cucurbitae,808,1941156,Animalia,Arthropoda,Insecta,Lepidoptera,Sesiidae,Melittia,yes,
Melopsittacus undulatus,610,2479798,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Melopsittacus,yes,Exotic
Melospiza georgiana,1540660,2492235,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melospiza,yes,
Melospiza lincolnii,916365,2492192,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melospiza,yes,
Melozone aberti,202702,7341587,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melozone,yes,
Melozone crissalis,814292,7341600,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melozone,yes,
Melozone fusca,220676,7341622,Animalia,Chordata,Aves,Passeriformes,Emberizidae,Melozone,yes,
Menecles insertus,884,2079055,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Menecles,yes,
Menemerus bivittatus,2260,2169064,Animalia,Arthropoda,NA,Araneae,Salticidae,Menemerus,yes,
Menemerus semilimbatus,382,2169069,Animalia,Arthropoda,NA,Araneae,Salticidae,Menemerus,yes,
Menosoma cincta,408,2032483,Animalia,Arthropoda,Insecta,Hemiptera,Cicadellidae,Menosoma,yes,
Mephitis mephitis,8030,5219380,Animalia,Chordata,Mammalia,Carnivora,Mephitidae,Mephitis,yes,
Mercenaria mercenaria,972,2287668,Animalia,Mollusca,Bivalvia,Venerida,Veneridae,Mercenaria,no,
Mergus merganser,1641926,9537647,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,yes,
Mergus serrator,1120412,2498375,Animalia,Chordata,Aves,Anseriformes,Anatidae,Mergus,yes,
Mermiria bivittata,892,1704540,Animalia,Arthropoda,Insecta,Orthoptera,Acrididae,Mermiria,yes,
Merodon equestris,915,1544340,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Merodon,yes,
Meromacrus acutus,342,1534944,Animalia,Arthropoda,Insecta,Diptera,Syrphidae,Meromacrus,yes,
Mesocentrotus franciscanus,7174,6474262,Animalia,Echinodermata,Echinoidea,Camarodonta,Strongylocentrotidae,Mesocentrotus,no,
Messua limbata,226,2171341,Animalia,Arthropoda,NA,Araneae,Salticidae,Messua,yes,
Mestra amymone,1858,5127805,Animalia,Arthropoda,Insecta,Lepidoptera,Nymphalidae,Mestra,yes,
Metacarcinus gracilis,558,5863761,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,no,
Metacarcinus magister,2308,5863764,Animalia,Arthropoda,Malacostraca,Decapoda,Cancridae,Metacarcinus,no,
Metacyrba taeniola,663,2171395,Animalia,Arthropoda,NA,Araneae,Salticidae,Metacyrba,yes,
Metaltella simoni,295,2143658,Animalia,Arthropoda,NA,Araneae,Desidae,Metaltella,yes,
Metcalfa pruinosa,4668,2068870,Animalia,Arthropoda,Insecta,Hemiptera,Flatidae,Metcalfa,yes,
Metridium senile,692,5183974,Animalia,Cnidaria,Anthozoa,Actiniaria,Metridiidae,Metridium,no,
Metriorrhynchomiris dislocatus,228,2011050,Animalia,Arthropoda,Insecta,Hemiptera,Miridae,Metriorrhynchomiris,yes,
Mexacanthina lugubris,135,4364617,Animalia,Mollusca,Gastropoda,Neogastropoda,Muricidae,Mexacanthina,no,
Micrathena gracilis,3358,2159593,Animalia,Arthropoda,NA,Araneae,Araneidae,Micrathena,yes,
Micrathyria hagenii,1309,1427654,Animalia,Arthropoda,Insecta,Odonata,Libellulidae,Micrathyria,yes,
Microcentrum rhombifolium,1010,5097361,Animalia,Arthropoda,Insecta,Orthoptera,Tettigoniidae,Microcentrum,yes,
Microcrambus elegans,4217,1886378,Animalia,Arthropoda,Insecta,Lepidoptera,Crambidae,Microcrambus,yes,
Micropterus salmoides,45926,2394563,Animalia,Chordata,Actinopterygii,Perciformes,Centrarchidae,Micropterus,no,
Microstylum morosum,383,1657592,Animalia,Arthropoda,Insecta,Diptera,Asilidae,Microstylum,yes,
Microtus californicus,1553,2438603,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,yes,
Microtus pennsylvanicus,19886,2438655,Animalia,Chordata,Mammalia,Rodentia,Cricetidae,Microtus,yes,
Micrurus tener,1120,5226950,Animalia,Chordata,Reptilia,Squamata,Elapidae,Micrurus,yes,
Milax gagates,416,2297108,Animalia,Mollusca,Gastropoda,Stylommatophora,Milacidae,Milax,yes,
Ministrymon leda,242,1928214,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Ministrymon,yes,
Minuca pugnax,499,9444500,Animalia,Arthropoda,Malacostraca,Decapoda,Ocypodidae,Minuca,no,
Mischocyttarus flavitarsis,513,1309964,Animalia,Arthropoda,Insecta,Hymenoptera,Vespidae,Mischocyttarus,yes,
Misumena vatia,4249,2165951,Animalia,Arthropoda,NA,Araneae,Thomisidae,Misumena,yes,
Mitoura gryneus,2372,1922049,Animalia,Arthropoda,Insecta,Lepidoptera,Lycaenidae,Mitoura,yes,
Mniotilta varia,1621269,2489613,Animalia,Chordata,Aves,Passeriformes,Parulidae,Mniotilta,yes,
Molothrus aeneus,156710,2484404,Animalia,Chordata,Aves,Passeriformes,Icteridae,Molothrus,yes,
Monadenia fidelis,1449,5191176,Animalia,Mollusca,Gastropoda,Stylommatophora,Xanthonychidae,Monadenia,yes,
Moneilema gigas,218,1119667,Animalia,Arthropoda,Insecta,Coleoptera,Cerambycidae,Moneilema,yes,
Monobia quadridens,3334,5036197,Animalia,Arthropoda,Insecta,Hymenoptera,Eumenidae,Monobia,yes,
Mopalia hindsii,195,2306055,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,no,
Mopalia lignosa,580,2306069,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,no,
Mopalia muscosa,1775,2306057,Animalia,Mollusca,Polyplacophora,Chitonida,Mopaliidae,Mopalia,no,
Mormidea lugens,874,2079216,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Mormidea,yes,
Morus bassanus,293239,2480964,Animalia,Chordata,Aves,Suliformes,Sulidae,Morus,yes,
Motacilla alba,1250,9687165,Animalia,Chordata,Aves,Passeriformes,Motacillidae,Motacilla,yes,
Mugil cephalus,10727,8189568,Animalia,Chordata,Actinopterygii,Mugiliformes,Mugilidae,Mugil,no,
Murgantia histrionica,2716,2078935,Animalia,Arthropoda,Insecta,Hemiptera,Pentatomidae,Murgantia,yes,
Mus musculus,4937,7429082,Animalia,Chordata,Mammalia,Rodentia,Muridae,Mus,yes,Exotic
Mustela vison,3450,5218823,Animalia,Chordata,Mammalia,Carnivora,Mustelidae,Mustela,yes,
Mya arenaria,1393,7791733,Animalia,Mollusca,Bivalvia,Myida,Myidae,Mya,no,
Myadestes townsendi,247564,2490849,Animalia,Chordata,Aves,Passeriformes,Turdidae,Myadestes,yes,
Mycteria americana,348034,2481937,Animalia,Chordata,Aves,Ciconiiformes,Ciconiidae,Mycteria,yes,
Myiarchus cinerascens,364866,2483600,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,yes,
Myiarchus crinitus,1689867,2483597,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,yes,
Myiarchus sagrae,15795,2483573,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,yes,
Myiarchus tyrannulus,132030,2483589,Animalia,Chordata,Aves,Passeriformes,Tyrannidae,Myiarchus,yes,
Myiopsitta monachus,97363,2479407,Animalia,Chordata,Aves,Psittaciformes,Psittacidae,Myiopsitta,yes,Exotic
Myliobatis californica,1079,2419300,Animalia,Chordata,Elasmobranchii,Myliobatiformes,Myliobatidae,Myliobatis,no,
Myllocerus undecimpustulatus,381,1240491,Animalia,Arthropoda,Insecta,Coleoptera,Curculionidae,Myllocerus,yes,
Myocastor coypus,2217,4264680,Animalia,Chordata,Mammalia,Rodentia,Myocastoridae,Myocastor,yes,Exotic
Myodocha serripes,1880,2008156,Animalia,Arthropoda,Insecta,Hemiptera,Rhyparochromidae,Myodocha,yes,
