"species","nobs","city","taxonKeys","Kingdom","Phylum","Class","Order","Family","Genus","assessmentId","internalTaxonId","redlistCategory","populationTrend","yearPublished"
"Icterus pectoralis",96,"Miami",5229910,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus",138279951,22724105,"Least Concern","Decreasing",2020
"Icterus spurius",13,"Atlanta",5229935,"Animalia","Chordata","Aves","Passeriformes","Icteridae","Icterus",94850686,103793298,"Least Concern","Stable",2016
"Ictidomys tridecemlineatus",11,"Minneapolis",7994322,"Animalia","Chordata","Mammalia","Rodentia","Sciuridae","Ictidomys",22263122,42564,"Least Concern","Stable",2016
"Ictinia mississippiensis",14,"Austin",2480719,"Animalia","Chordata","Aves","Accipitriformes","Accipitridae","Ictinia",93488215,22695066,"Least Concern","Increasing",2016
"Idaea dimidiata",18,"Boston",5146677,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Idaea",NA,NA,NA,NA,NA
"Idia aemula",22,"Boston",9407200,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Idia",NA,NA,NA,NA,NA
"Idia americalis",11,"Boston",9498206,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Idia",NA,NA,NA,NA,NA
"Ignelater havaniensis",13,"Miami",6973713,"Animalia","Arthropoda","Insecta","Coleoptera","Elateridae","Ignelater",NA,NA,NA,NA,NA
"Iguana iguana",359,"Miami",2459658,"Animalia","Chordata","Reptilia","Squamata","Iguanidae","Iguana",174437922,174481,"Least Concern","Unknown",2020
"Incilius alvarius",11,"Tucson",2422432,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Incilius",11152901,54567,"Least Concern","Stable",2004
"Incilius nebulifer",273,"Austin",2422404,"Animalia","Chordata","Amphibia","Anura","Bufonidae","Incilius",11190630,54714,"Least Concern","Stable",2004
"Incisalia henrici",14,"Austin",1921240,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Incisalia",NA,NA,NA,NA,NA
"Incisitermes minor",16,"Los Angeles",2007347,"Animalia","Arthropoda","Insecta","Blattodea","Kalotermitidae","Incisitermes",NA,NA,NA,NA,NA
"Indotyphlops braminus",20,"Miami",9357542,"Animalia","Chordata","Reptilia","Squamata","Typhlopidae","Indotyphlops",NA,NA,NA,NA,NA
"Inopus rubriceps",24,"San Jose",1578356,"Animalia","Arthropoda","Insecta","Diptera","Stratiomyidae","Inopus",NA,NA,NA,NA,NA
"Iris oratoria",14,"Phoenix",1404300,"Animalia","Arthropoda","Insecta","Mantodea","Tarachodidae","Iris",44798468,44791239,"Least Concern","Unknown",2020
"Ischnura cervula",19,"Long Beach",1423285,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Ischnura",65836759,51361508,"Least Concern","Stable",2018
"Ischnura hastata",24,"Fort Worth",4302729,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Ischnura",65836119,165519,"Least Concern","Stable",2017
"Ischnura posita",20,"Atlanta",1423333,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Ischnura",65827790,165042,"Least Concern","Stable",2017
"Ischnura ramburii",31,"Austin",1423387,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Ischnura",80686885,165059,"Least Concern","Increasing",2017
"Ischnura verticalis",26,"Boston",1423305,"Animalia","Arthropoda","Insecta","Odonata","Coenagrionidae","Ischnura",65836779,51361720,"Least Concern","Stable",2017
"Isodontia elegans",21,"New York",1346887,"Animalia","Arthropoda","Insecta","Hymenoptera","Sphecidae","Isodontia",NA,NA,NA,NA,NA
"Isogona tenuis",12,"Fort Worth",1790945,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Isogona",NA,NA,NA,NA,NA
"Istocheta aldrichi",24,"Montréal",1475844,"Animalia","Arthropoda","Insecta","Diptera","Tachinidae","Istocheta",NA,NA,NA,NA,NA
"Ixodes scapularis",15,"Boston",2182727,"Animalia","Arthropoda",NA,"Ixodida","Ixodidae","Ixodes",NA,NA,NA,NA,NA
"Ixoreus naevius",33,"Minneapolis",2490926,"Animalia","Chordata","Aves","Passeriformes","Turdidae","Ixoreus",94159470,22708385,"Least Concern","Decreasing",2016
"Jacana spinosa",25,"Tucson",9520263,"Animalia","Chordata","Aves","Charadriiformes","Jacanidae","Jacana",168911151,22693550,"Least Concern","Unknown",2020
"Jadera haematoloma",19,"Albuquerque",2050227,"Animalia","Arthropoda","Insecta","Hemiptera","Rhopalidae","Jadera",NA,NA,NA,NA,NA
"Japanagromyza viridula",26,"New York",1552795,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Japanagromyza",NA,NA,NA,NA,NA
"Jikradia olitoria",60,"Boston",2029056,"Animalia","Arthropoda","Insecta","Hemiptera","Cicadellidae","Jikradia",NA,NA,NA,NA,NA
"Judolia cordifera",14,"Boston",1109978,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Judolia",NA,NA,NA,NA,NA
"Junco hyemalis",388,"Albuquerque",9362842,"Animalia","Chordata","Aves","Passeriformes","Emberizidae","Junco",95099443,22721097,"Least Concern","Stable",2016
"Junonia coenia",22,"Albuquerque",5130514,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Junonia",173053306,173004520,"Least Concern","Unknown",2020
"Kelletia kelletii",18,"Long Beach",2304727,"Animalia","Mollusca","Gastropoda","Neogastropoda","Buccinidae","Kelletia",NA,NA,NA,NA,NA
"Kinosternon subrubrum",11,"Tulsa",9195555,"Animalia","Chordata","Reptilia","Testudines","Kinosternidae","Kinosternon",97382608,163435,"Least Concern","Unknown",2011
"Knulliana cincta",12,"Fort Worth",4292985,"Animalia","Arthropoda","Insecta","Coleoptera","Cerambycidae","Knulliana",NA,NA,NA,NA,NA
"Kricogonia lyside",31,"San Antonio",1920581,"Animalia","Arthropoda","Insecta","Lepidoptera","Pieridae","Kricogonia",NA,NA,NA,NA,NA
"Kukulcania hibernalis",16,"Raleigh",2167609,"Animalia","Arthropoda",NA,"Araneae","Filistatidae","Kukulcania",NA,NA,NA,NA,NA
"Kyphosus azureus",11,"San Diego",8173912,"Animalia","Chordata","Actinopterygii","Perciformes","Kyphosidae","Kyphosus",NA,NA,NA,NA,NA
"Labidomera clivicollis",12,"Baltimore",1047370,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Labidomera",NA,NA,NA,NA,NA
"Lacinipolia laudabilis",12,"Dallas",1799900,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Lacinipolia",NA,NA,NA,NA,NA
"Lacinipolia renigera",14,"Toronto",1799870,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Lacinipolia",NA,NA,NA,NA,NA
"Lacinipolia stricta",15,"Austin",1799884,"Animalia","Arthropoda","Insecta","Lepidoptera","Noctuidae","Lacinipolia",NA,NA,NA,NA,NA
"Lactista gibbosus",11,"San Diego",1710173,"Animalia","Arthropoda","Insecta","Orthoptera","Acrididae","Lactista",NA,NA,NA,NA,NA
"Lactura subfervens",47,"Austin",1758113,"Animalia","Arthropoda","Insecta","Lepidoptera","Lacturidae","Lactura",NA,NA,NA,NA,NA
"Lambdina fiscellaria",200,"Vancouver",1962900,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Lambdina",NA,NA,NA,NA,NA
"Lampropeltis californiae",13,"Los Angeles",8170369,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis",67662576,67662524,"Least Concern","Stable",2019
"Lampropeltis getula",15,"Atlanta",9799308,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis",67662645,67662588,"Least Concern","Stable",2019
"Lampropeltis nigra",20,"Nashville",7721444,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis",90069345,90069326,"Least Concern","Stable",2019
"Lampropeltis triangulum",18,"Boston",5224503,"Animalia","Chordata","Reptilia","Squamata","Colubridae","Lampropeltis",2490171,197493,"Least Concern","Stable",2019
"Lampsilis cardium",12,"Québec",2288163,"Animalia","Mollusca","Bivalvia","Unionida","Unionidae","Lampsilis",62905411,11253,"Least Concern","Stable",2017
"Lanius borealis",33,"Calgary",7690702,"Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius",118775235,103718956,"Least Concern","Stable",2017
"Lanius ludovicianus",71,"Albuquerque",2492870,"Animalia","Chordata","Aves","Passeriformes","Laniidae","Lanius",179538598,22705042,"Near Threatened","Decreasing",2020
"Laphria flavicollis",12,"Boston",1660742,"Animalia","Arthropoda","Insecta","Diptera","Asilidae","Laphria",NA,NA,NA,NA,NA
"Laphria macquarti",17,"Austin",1658930,"Animalia","Arthropoda","Insecta","Diptera","Asilidae","Laphria",NA,NA,NA,NA,NA
"Laphria thoracica",16,"Boston",1660829,"Animalia","Arthropoda","Insecta","Diptera","Asilidae","Laphria",NA,NA,NA,NA,NA
"Largus maculatus",16,"Austin",2012205,"Animalia","Arthropoda","Insecta","Hemiptera","Largidae","Largus",NA,NA,NA,NA,NA
"Larinioides cornutus",11,"Detroit",2159204,"Animalia","Arthropoda",NA,"Araneae","Araneidae","Larinioides",NA,NA,NA,NA,NA
"Larinus carlinae",13,"Toronto",1183708,"Animalia","Arthropoda","Insecta","Coleoptera","Curculionidae","Larinus",NA,NA,NA,NA,NA
"Larus argentatus",132,"Baltimore",2481139,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",NA,NA,NA,NA,NA
"Larus californicus",82,"Calgary",2481146,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",132542511,22694321,"Least Concern","Decreasing",2018
"Larus canus",14,"Long Beach",7982160,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",155576460,22694308,"Least Concern","Unknown",2019
"Larus delawarensis",70,"Albuquerque",2481134,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",132541912,22694317,"Least Concern","Increasing",2018
"Larus fuscus",13,"Chicago",2481174,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",155594163,22694373,"Least Concern","Increasing",2019
"Larus glaucescens",18,"Long Beach",2481196,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",132543276,22694334,"Least Concern","Increasing",2018
"Larus glaucoides",26,"Boston",2481156,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",155595584,22729877,"Least Concern","Stable",2019
"Larus heermanni",121,"Long Beach",2481130,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",178958787,22694296,"Near Threatened","Unknown",2020
"Larus hyperboreus",18,"Chicago",2481127,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",132544122,22694343,"Least Concern","Stable",2018
"Larus marinus",72,"Baltimore",2481172,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",132342572,22694324,"Least Concern","Unknown",2018
"Larus occidentalis",480,"Long Beach",9656686,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",132543621,22694337,"Least Concern","Increasing",2018
"Larus smithsonianus",30,"Chicago",4848480,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Larus",155596462,62030590,"Least Concern","Decreasing",2019
"Lasioglossum sisymbrii",20,"San Diego",1354683,"Animalia","Arthropoda","Insecta","Hymenoptera","Halictidae","Lasioglossum",NA,NA,NA,NA,NA
"Lasiurus borealis",12,"New York",5218543,"Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Lasiurus",22121017,11347,"Least Concern","Stable",2016
"Lasius emarginatus",32,"New York",5035813,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Lasius",NA,NA,NA,NA,NA
"Latrodectus geometricus",19,"Houston",2157944,"Animalia","Arthropoda",NA,"Araneae","Theridiidae","Latrodectus",NA,NA,NA,NA,NA
"Latrodectus hesperus",34,"Albuquerque",2157942,"Animalia","Arthropoda",NA,"Araneae","Theridiidae","Latrodectus",NA,NA,NA,NA,NA
"Latrodectus mactans",18,"Tulsa",2157949,"Animalia","Arthropoda",NA,"Araneae","Theridiidae","Latrodectus",NA,NA,NA,NA,NA
"Lehmannia marginata",11,"Halifax",5781247,"Animalia","Mollusca","Gastropoda","Stylommatophora","Limacidae","Lehmannia",NA,NA,NA,NA,NA
"Leidyula floridana",39,"Miami",2293762,"Animalia","Mollusca","Gastropoda","Systellommatophora","Veronicellidae","Leidyula",NA,NA,NA,NA,NA
"Leiobunum rotundum",11,"Vancouver",4553472,"Animalia","Arthropoda",NA,"Opiliones","Sclerosomatidae","Leiobunum",NA,NA,NA,NA,NA
"Leiobunum townsendi",26,"Austin",7837428,"Animalia","Arthropoda",NA,"Opiliones","Sclerosomatidae","Leiobunum",NA,NA,NA,NA,NA
"Leiobunum vittatum",11,"Boston",6907800,"Animalia","Arthropoda",NA,"Opiliones","Sclerosomatidae","Leiobunum",NA,NA,NA,NA,NA
"Leiocephalus carinatus",223,"Miami",5224691,"Animalia","Chordata","Reptilia","Squamata","Leiocephalidae","Leiocephalus",144769915,75320046,"Least Concern","Stable",2017
"Leiothlypis celata",32,"Albuquerque",8169649,"Animalia","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis",94718199,22721624,"Least Concern","Increasing",2016
"Leiothlypis luciae",44,"Albuquerque",8293756,"Animalia","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis",94719257,22721636,"Least Concern","Stable",2016
"Leiothlypis peregrina",21,"Atlanta",7415507,"Animalia","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis",94717835,22721621,"Least Concern","Stable",2016
"Leiothlypis ruficapilla",12,"Austin",7531611,"Animalia","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis",94718463,22721627,"Least Concern","Increasing",2016
"Leiothlypis virginiae",27,"Albuquerque",8314699,"Animalia","Chordata","Aves","Passeriformes","Parulidae","Leiothlypis",94718741,22721630,"Least Concern","Decreasing",2016
"Lema daturaphila",11,"Ottawa - Gatineau",1047466,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Lema",NA,NA,NA,NA,NA
"Lepisosteus oculatus",11,"Tulsa",2346692,"Animalia","Chordata","Actinopterygii","Lepisosteiformes","Lepisosteidae","Lepisosteus",1967019,191026,"Least Concern","Stable",2019
"Lepomis auritus",13,"Austin",2394491,"Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","Lepomis",18235291,184095,"Least Concern","Stable",2013
"Lepomis cyanellus",19,"Austin",2394494,"Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","Lepomis",58309866,61248,"Least Concern","Stable",2019
"Lepomis gibbosus",13,"New York",2394486,"Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","Lepomis",18237003,202555,"Least Concern","Stable",2013
"Lepomis macrochirus",39,"Austin",2394503,"Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","Lepomis",58309944,61260,"Least Concern","Stable",2019
"Lepomis megalotis",35,"Austin",2394510,"Animalia","Chordata","Actinopterygii","Perciformes","Centrarchidae","Lepomis",130014171,62216,"Least Concern","Stable",2019
"Leptinotarsa haldemani",11,"San Antonio",4990495,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Leptinotarsa",NA,NA,NA,NA,NA
"Leptinotarsa juncta",14,"Detroit",4990487,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Leptinotarsa",NA,NA,NA,NA,NA
"Leptoglossus occidentalis",58,"Boston",5156102,"Animalia","Arthropoda","Insecta","Hemiptera","Coreidae","Leptoglossus",NA,NA,NA,NA,NA
"Leptoglossus oppositus",16,"Baltimore",5156107,"Animalia","Arthropoda","Insecta","Hemiptera","Coreidae","Leptoglossus",NA,NA,NA,NA,NA
"Leptoglossus phyllopus",18,"Austin",5156098,"Animalia","Arthropoda","Insecta","Hemiptera","Coreidae","Leptoglossus",NA,NA,NA,NA,NA
"Leptoglossus zonatus",11,"Fresno",5156103,"Animalia","Arthropoda","Insecta","Hemiptera","Coreidae","Leptoglossus",NA,NA,NA,NA,NA
"Leptomantispa pulchella",15,"Austin",2108032,"Animalia","Arthropoda","Insecta","Neuroptera","Mantispidae","Leptomantispa",NA,NA,NA,NA,NA
"Leptotes cassius",13,"Austin",5140033,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Leptotes",NA,NA,NA,NA,NA
"Leptotes marina",67,"Long Beach",5140063,"Animalia","Arthropoda","Insecta","Lepidoptera","Lycaenidae","Leptotes",NA,NA,NA,NA,NA
"Leptuca crenulata",17,"Long Beach",9293681,"Animalia","Arthropoda","Malacostraca","Decapoda","Ocypodidae","Leptuca",NA,NA,NA,NA,NA
"Leptuca pugilator",13,"New York",9596149,"Animalia","Arthropoda","Malacostraca","Decapoda","Ocypodidae","Leptuca",NA,NA,NA,NA,NA
"Lepus americanus",35,"Halifax",2436794,"Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus",45185466,41273,"Least Concern","Stable",2019
"Lepus californicus",14,"Albuquerque",2436801,"Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus",45186309,41276,"Least Concern","Decreasing",2019
"Lepus townsendii",171,"Calgary",2436705,"Animalia","Chordata","Mammalia","Lagomorpha","Leporidae","Lepus",45189364,41288,"Least Concern","Decreasing",2019
"Lerema accius",17,"Atlanta",1950133,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Lerema",NA,NA,NA,NA,NA
"Lerodea eufala",17,"Austin",1949451,"Animalia","Arthropoda","Insecta","Lepidoptera","Hesperiidae","Lerodea",NA,NA,NA,NA,NA
"Lestes alacer",22,"Austin",5051641,"Animalia","Arthropoda","Insecta","Odonata","Lestidae","Lestes",80690074,51364316,"Least Concern","Stable",2017
"Lestes australis",30,"Fort Worth",5715372,"Animalia","Arthropoda","Insecta","Odonata","Lestidae","Lestes",68460792,51364319,"Least Concern","Stable",2017
"Lestes congener",12,"Calgary",5051576,"Animalia","Arthropoda","Insecta","Odonata","Lestidae","Lestes",65836789,51364323,"Least Concern","Stable",2017
"Lestes forficula",27,"Austin",5051634,"Animalia","Arthropoda","Insecta","Odonata","Lestidae","Lestes",49255721,49254380,"Least Concern","Stable",2018
"Lestes rectangularis",31,"Chicago",5051661,"Animalia","Arthropoda","Insecta","Odonata","Lestidae","Lestes",65836814,51364361,"Least Concern","Stable",2017
"Lethe anthedon",19,"Baltimore",4299804,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Lethe",NA,NA,NA,NA,NA
"Leucauge argyra",39,"Miami",2151507,"Animalia","Arthropoda",NA,"Araneae","Tetragnathidae","Leucauge",NA,NA,NA,NA,NA
"Leucauge argyrobapta",30,"Houston",2151576,"Animalia","Arthropoda",NA,"Araneae","Tetragnathidae","Leucauge",NA,NA,NA,NA,NA
"Leucauge venusta",22,"Austin",2151568,"Animalia","Arthropoda",NA,"Araneae","Tetragnathidae","Leucauge",NA,NA,NA,NA,NA
"Leucoma salicis",21,"Calgary",1820039,"Animalia","Arthropoda","Insecta","Lepidoptera","Erebidae","Leucoma",NA,NA,NA,NA,NA
"Leucophaeus atricilla",55,"Halifax",6065844,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Leucophaeus",NA,NA,NA,NA,NA
"Leucophaeus pipixcan",15,"Albuquerque",5846430,"Animalia","Chordata","Aves","Charadriiformes","Laridae","Leucophaeus",NA,NA,NA,NA,NA
"Leucorrhinia intacta",26,"Minneapolis",1429172,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Leucorrhinia",65836534,51274744,"Least Concern","Stable",2017
"Leucosticte australis",12,"Albuquerque",2494359,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Leucosticte",131480347,22728985,"Endangered","Decreasing",2018
"Leucosticte tephrocotis",14,"Albuquerque",2494360,"Animalia","Chordata","Aves","Passeriformes","Fringillidae","Leucosticte",132141004,22720482,"Least Concern","Stable",2018
"Libellula comanche",25,"Austin",1427887,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Libellula",80694124,164977,"Least Concern","Stable",2017
"Libellula croceipennis",59,"Austin",1427904,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Libellula",80680770,165095,"Least Concern","Stable",2017
"Libellula deplanata",13,"Houston",1427911,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Libellula",NA,NA,NA,NA,NA
"Libellula forensis",37,"Portland",1427927,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Libellula",65836549,51275487,"Least Concern","Stable",2017
"Libellula incesta",18,"Austin",1427899,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Libellula",65836554,51276332,"Least Concern","Stable",2017
"Libellula julia",13,"Boston",1427893,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Libellula",NA,NA,NA,NA,NA
"Libellula luctuosa",100,"Austin",1427951,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Libellula",65829657,165064,"Least Concern","Stable",2017
"Libellula needhami",45,"Austin",1427959,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Libellula",80697363,51276359,"Least Concern","Stable",2017
"Libellula pulchella",19,"Austin",1427889,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Libellula",65836559,51276380,"Least Concern","Stable",2017
"Libellula quadrimaculata",19,"Minneapolis",1427915,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Libellula",65834060,165469,"Least Concern","Stable",2017
"Libellula saturata",15,"Albuquerque",1427950,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Libellula",80696812,51276401,"Least Concern","Stable",2017
"Libellula vibrans",15,"Austin",1427933,"Animalia","Arthropoda","Insecta","Odonata","Libellulidae","Libellula",65836569,51276429,"Least Concern","Stable",2017
"Libinia emarginata",14,"New York",2226736,"Animalia","Arthropoda","Malacostraca","Decapoda","Epialtidae","Libinia",NA,NA,NA,NA,NA
"Liburniella ornata",11,"Dallas",2056850,"Animalia","Arthropoda","Insecta","Hemiptera","Delphacidae","Liburniella",NA,NA,NA,NA,NA
"Libytheana carinenta",14,"Atlanta",1898402,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Libytheana",842729,160608,"Least Concern","Unknown",2020
"Ligia occidentalis",20,"Oakland",5175619,"Animalia","Arthropoda","Malacostraca","Isopoda","Ligiidae","Ligia",NA,NA,NA,NA,NA
"Lilioceris lilii",14,"Calgary",1048809,"Animalia","Arthropoda","Insecta","Coleoptera","Chrysomelidae","Lilioceris",NA,NA,NA,NA,NA
"Limacia mcdonaldi",16,"Long Beach",9360337,"Animalia","Mollusca","Gastropoda","Nudibranchia","Polyceridae","Limacia",NA,NA,NA,NA,NA
"Limacus flavus",14,"Dallas",2295442,"Animalia","Mollusca","Gastropoda","Stylommatophora","Limacidae","Limacus",NA,NA,NA,NA,NA
"Limax maximus",59,"Baltimore",2295438,"Animalia","Mollusca","Gastropoda","Stylommatophora","Limacidae","Limax",NA,NA,NA,NA,NA
"Limenitis archippus",13,"Chicago",5132398,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis",831906,160397,"Least Concern","Unknown",2020
"Limenitis arthemis",12,"Baltimore",5132084,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis",NA,NA,NA,NA,NA
"Limenitis astyanax",12,"Atlanta",5132505,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis",NA,NA,NA,NA,NA
"Limenitis bredowii",19,"Los Angeles",5132079,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis",NA,NA,NA,NA,NA
"Limenitis lorquini",57,"Oakland",5132246,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis",NA,NA,NA,NA,NA
"Limenitis weidemeyerii",12,"Colorado Springs",5714333,"Animalia","Arthropoda","Insecta","Lepidoptera","Nymphalidae","Limenitis",173053311,173004526,"Least Concern","Unknown",2020
"Limnodromus griseus",15,"Halifax",2481672,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limnodromus",93396788,22693344,"Least Concern","Decreasing",2016
"Limnodromus scolopaceus",22,"El Paso",2481670,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limnodromus",93397323,22693348,"Least Concern","Unknown",2016
"Limosa fedoa",11,"Calgary",2481684,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa",93387912,22693162,"Least Concern","Decreasing",2016
"Limosa haemastica",14,"Oklahoma City",2481680,"Animalia","Chordata","Aves","Charadriiformes","Scolopacidae","Limosa",93386036,22693154,"Least Concern","Decreasing",2016
"Limulus polyphemus",12,"Boston",1010610,"Animalia","Arthropoda","Merostomata","Xiphosurida","Limulidae","Limulus",80159830,11987,"Vulnerable","Decreasing",2016
"Lineodes integra",23,"Austin",1892427,"Animalia","Arthropoda","Insecta","Lepidoptera","Crambidae","Lineodes",NA,NA,NA,NA,NA
"Linepithema humile",116,"Long Beach",1316908,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Linepithema",NA,NA,NA,NA,NA
"Liometopum occidentale",17,"Los Angeles",1319372,"Animalia","Arthropoda","Insecta","Hymenoptera","Formicidae","Liometopum",NA,NA,NA,NA,NA
"Liriomyza arctii",25,"New York",1553623,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Liriomyza",NA,NA,NA,NA,NA
"Liriomyza fricki",11,"New York",1553687,"Animalia","Arthropoda","Insecta","Diptera","Agromyzidae","Liriomyza",NA,NA,NA,NA,NA
"Lithobates berlandieri",16,"Austin",2427110,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates",11804296,58561,"Least Concern","Stable",2010
"Lithobates catesbeianus",40,"Albuquerque",2427091,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates",53969770,58565,"Least Concern","Increasing",2015
"Lithobates clamitans",19,"Atlanta",2427172,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates",64412670,58578,"Least Concern","Stable",2015
"Lithobates palustris",24,"Baltimore",2427056,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates",78908960,58690,"Least Concern","Stable",2015
"Lithobates pipiens",13,"Columbus",2427185,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates",11814172,58695,"Least Concern","Decreasing",2004
"Lithobates sphenocephalus",23,"Fort Worth",2427093,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates",64647484,58723,"Least Concern","Stable",2014
"Lithobates sylvaticus",58,"Boston",2427072,"Animalia","Chordata","Amphibia","Anura","Ranidae","Lithobates",78907321,58728,"Least Concern","Stable",2015
"Littoraria irrorata",13,"Virginia Beach",5192673,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littoraria",NA,NA,NA,NA,NA
"Littorina littorea",50,"Boston",2301117,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littorina",NA,NA,NA,NA,NA
"Littorina obtusata",16,"Boston",2301066,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Littorinidae","Littorina",NA,NA,NA,NA,NA
"Lobatus gigas",14,"Miami",4963453,"Animalia","Mollusca","Gastropoda","Littorinimorpha","Strombidae","Lobatus",NA,NA,NA,NA,NA
"Lobocleta ossularia",22,"Austin",1990335,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Lobocleta",NA,NA,NA,NA,NA
"Lobophora nivigerata",11,"Hamilton",5144424,"Animalia","Arthropoda","Insecta","Lepidoptera","Geometridae","Lobophora",NA,NA,NA,NA,NA
"Lonchura punctulata",37,"Houston",2493598,"Animalia","Chordata","Aves","Passeriformes","Estrildidae","Lonchura",94646304,22719821,"Least Concern","Stable",2016
"Lontra canadensis",40,"Minneapolis",2433727,"Animalia","Chordata","Mammalia","Carnivora","Mustelidae","Lontra",21936349,12302,"Least Concern","Stable",2015
