"datasetKey","scientificName","acceptedScientificName","kingdom","genus","species","decimalLongitude","decimalLatitude","coordinateUncertaintyInMeters","year","month","day","eventDate","verbatimEventDate"
"0348540a-e644-4496-89d3-c257da9ad776","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-74.194381,45.549629,NA,2018,7,12,"2018-07-12T00:00:00",NA
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-88.183529,48.983327,6,2018,8,7,"2018-08-07T17:51:39","Tue Aug 07 2018 17:51:39 GMT-0400 (EDT)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-81.470166,45.047228,5,2018,8,4,"2018-08-04T15:05:19","Sat Aug 04 2018 15:05:19 GMT-0400 (EDT)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-89.613443,45.948157,66,2018,8,27,"2018-08-27T20:58:36","2018-08-27 8:58:36 PM CDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-88.132748,49.422037,12,2018,8,9,"2018-08-09T10:37:17","Thu Aug 09 2018 10:37:17 GMT-0400 (EDT)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-80.014328,44.845871,1449,2018,9,8,"2018-09-08T11:12:00","2018/09/08 11:12 AM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-77.996117,44.611237,2,2017,7,3,"2017-07-03T10:39:00","2017/07/03 10:39 AM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-89.41872,48.070008,NA,2017,7,19,"2017-07-19T14:04:47","Wed Jul 19 2017 14:04:47 GMT-0400 (EDT)"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-89.47168,48.062378,NA,2017,7,21,"2017-07-21T13:12:39","2017-07-21 1:12:39 PM EDT"
"50c9509d-22c7-4a22-a47d-8c48425ef4a7","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-80.096942,42.544683,NA,2017,7,11,"2017-07-11T13:09:00","2017/07/11 1:09 PM EDT"
"c8d12f8a-7e39-4e2c-92d7-825d590ad15b","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-85.89049,42.65529,NA,2017,7,16,"2017-07-16T00:00:00",NA
"1984c441-b52a-4ced-ba2f-9a2c4fa1898b","Agrostis scabra Willd.","Agrostis scabra Willd.","Plantae","Agrostis","Agrostis scabra",-85.213131,44.935978,NA,2017,8,15,"2017-08-15T00:00:00",NA
